Metric,Agent min,Agent Q1,Agent Median,Agent Mean,Agent Q3,Agent Max,Human min,Human Q1,Human Median,Human Mean,Human Q3,Human Max,P-value,Effect size (delta),Effect label
time_to_close_hours,0.0008333333333333,0.0036111111111111,0.0063888888888888,1.2917782362830492,0.0222222222222222,354.835833333333,0.0011111111111111,0.07583333333333332,0.5654166666666665,57.26322277046776,4.901944444444441,18086.19,8.991777777488841e-115,-0.6537938294843022,Large
time_to_close_days,3.47222222222222e-05,0.0001504629629629,0.0002662037037037,0.05382409317846023,0.0009259259259259,14.7848263888888,4.62962962962962e-05,0.003159722222222125,0.0235590277777777,2.3859676154361575,0.20424768518518474,753.59125,8.553045810540767e-115,-0.6538571756075194,Large
body_length,0.0,197.0,244.0,436.0701545778835,317.0,4506.0,0.0,40.0,93.5,517.025,628.0,5908.0,1.5938642996253265e-37,0.352701235589102,Medium
commits,1.0,1.0,1.0,1.9206798866855523,1.0,349.0,1.0,1.0,1.0,1.9334787350054525,1.0,461.0,0.06763850921460818,-0.0331077135998962,Negligible
changed_files,0.0,1.0,3.0,8.240793201133144,6.0,248.0,0.0,1.0,4.0,44.88222464558343,13.0,4386.0,2.0453385170769055e-06,-0.13569466884563222,Negligible
additions,0.0,3.0,16.0,611.0382436260624,68.0,173214.0,0.0,1.0,8.0,1217.8418756815704,67.0,279546.0,0.00020718639844091009,0.1070772101414577,Negligible
deletions,0.0,8.0,47.0,1278.012747875354,159.75,155914.0,0.0,6.0,45.0,5674.778625954198,340.0,688358.0,0.052322131124750385,-0.05609652117231643,Negligible
code_churn,0.0,17.0,76.0,1889.0509915014163,262.0,329128.0,0.0,13.0,76.0,6892.620501635769,596.0,707392.0,0.22847716006088925,-0.03482225881291686,Negligible
review_iterations,0.0,0.0,0.0,0.06896551724137931,0.0,7.0,0.0,0.0,1.0,1.0054347826086956,1.0,12.0,3.397645036706913e-157,-0.6313601819779765,Large
total_comments,0.0,0.0,0.0,0.34720570749108204,0.0,30.0,0.0,0.0,1.0,2.1293478260869567,3.0,21.0,4.788576685985859e-74,-0.4429276740939875,Medium
reviewer_workload_hours,0.0025,0.013657407407407325,0.03486111111111105,6.323138319370955,0.30409722222222146,90.3324074074074,0.0002777777777777,0.0516666666666666,0.3015277777777775,14.886658700386173,2.1902546296296226,976.986333333333,0.0001577950459101103,-0.374285459092533,Medium
